id,claim,source,date,label,explanation,reference_links
1,"Wearing masks reduces COVID-19 transmission","WHO","2020-06-15",true,"Masks filter respiratory droplets containing virus","https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/when-and-how-to-use-masks"
2,"Vaccines prevent deadly diseases","CDC","2019-04-22",true,"Vaccination has eradicated smallpox and nearly eliminated polio","https://www.cdc.gov/vaccines/vac-gen/howvpd.htm"
3,"Regular exercise improves heart health","American Heart Association","2021-01-10",true,"Physical activity strengthens cardiovascular system","https://www.heart.org/en/healthy-living/fitness"
4,"Mammograms detect breast cancer early","American Cancer Society","2020-11-05",true,"Early detection improves treatment outcomes","https://www.cancer.org/cancer/breast-cancer/screening-tests-and-early-detection/mammograms.html"
5,"Handwashing prevents disease spread","CDC","2020-03-01",true,"Removes germs from hands effectively","https://www.cdc.gov/handwashing/when-how-handwashing.html"
6,"Smoking causes lung cancer","WHO","2019-07-18",true,"Tobacco contains carcinogens that damage lung tissue","https://www.who.int/news-room/fact-sheets/detail/tobacco"
7,"HPV vaccine prevents cervical cancer","CDC","2020-09-14",true,"Protects against cancer-causing HPV strains","https://www.cdc.gov/hpv/parents/vaccine/safety.html"
8,"Annual flu shots reduce hospitalization","CDC","2021-10-05",true,"Prevents severe flu complications","https://www.cdc.gov/flu/prevent/vaccine-benefits.htm"
9,"Diabetes can be managed with diet","American Diabetes Association","2020-05-22",true,"Healthy eating helps control blood sugar","https://www.diabetes.org/healthy-living/recipes-nutrition"
10,"CT scans detect internal injuries","Radiology Society","2019-12-03",true,"Provides detailed images of internal structures","https://www.radiologyinfo.org/en/info.cfm?pg=bodyct"
11,"Mosquito nets prevent malaria","WHO","2018-08-17",true,"Physical barrier against mosquito bites","https://www.who.int/malaria/areas/vector_control/insecticide_treated_nets/en/"
12,"Antioxidants protect cells from damage","NIH","2020-07-29",true,"Neutralize harmful free radicals","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3093095/"
13,"Regular sleep improves immunity","Sleep Foundation","2021-02-11",true,"Adequate sleep strengthens immune response","https://www.sleepfoundation.org/how-sleep-works/how-sleep-affects-immunity"
14,"Prenatal vitamins prevent birth defects","March of Dimes","2019-11-20",true,"Folic acid reduces neural tube defects","https://www.marchofdimes.org/pregnancy/prenatal-vitamins.aspx"
15,"Blood pressure medication saves lives","American Heart Association","2020-01-15",true,"Reduces risk of heart attack and stroke","https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure"
16,"Physical therapy aids recovery","APTA","2021-03-08",true,"Improves mobility after injury/surgery","https://www.apta.org/patient-care/"
17,"HIV treatment prevents transmission","CDC","2020-08-12",true,"Undetectable viral load means untransmittable","https://www.cdc.gov/hiv/basics/livingwithhiv/treatment.html"
18,"Colonoscopies prevent colon cancer","American Cancer Society","2019-09-25",true,"Detects and removes precancerous polyps","https://www.cancer.org/latest-news/american-cancer-society-updates-colon-cancer-screening-guideline.html"
19,"Insulin regulates blood sugar","NIH","2020-04-30",true,"Essential for diabetes management","https://www.niddk.nih.gov/health-information/diabetes/overview/what-is-diabetes"
20,"Vasectomies are effective birth control","Planned Parenthood","2021-07-19",true,"Permanent sterilization procedure","https://www.plannedparenthood.org/learn/birth-control/vasectomy"
21,"Chemotherapy kills cancer cells","National Cancer Institute","2019-06-12",true,"Destroys rapidly dividing cells","https://www.cancer.gov/about-cancer/treatment/types/chemotherapy"
22,"Allergy shots reduce symptoms","AAAAI","2020-10-28",true,"Desensitizes immune system to allergens","https://www.aaaai.org/conditions-and-treatments/library/allergy-library/allergy-shots-(immunotherapy)"
23,"Antidepressants help with depression","NIH","2021-05-14",true,"Correct chemical imbalances in brain","https://www.nimh.nih.gov/health/topics/depression/index.shtml"
24,"Prostate exams detect cancer early","American Cancer Society","2019-04-17",true,"Identifies abnormalities in prostate","https://www.cancer.org/cancer/prostate-cancer/detection-diagnosis-staging/tests.html"
25,"Physical exams detect health issues","AMA","2020-12-09",true,"Identifies problems before symptoms appear","https://www.ama-assn.org/delivering-care/preventive-care"
26,"Statins reduce cholesterol","American Heart Association","2021-02-03",true,"Lowers LDL ('bad') cholesterol","https://www.heart.org/en/health-topics/cholesterol/prevention-and-treatment-of-high-cholesterol-hyperlipidemia"
27,"Ventilators save lives in respiratory failure","WHO","2020-03-25",true,"Provides mechanical breathing support","https://www.who.int/news-room/questions-and-answers/item/coronavirus-disease-covid-19-ventilators"
28,"Pap smears detect cervical cancer","CDC","2019-10-31",true,"Identifies precancerous cells","https://www.cdc.gov/cancer/cervical/basic_info/screening.htm"
29,"Blood tests detect infections","Mayo Clinic","2021-01-28",true,"Identifies pathogens and antibodies","https://www.mayoclinic.org/tests-procedures/complete-blood-count/about/pac-20384919"
30,"Radiation therapy treats cancer","National Cancer Institute","2020-07-15",true,"Destroys cancer cells with targeted beams","https://www.cancer.gov/about-cancer/treatment/types/radiation-therapy"
31,"CPR saves lives during cardiac arrest","American Heart Association","2019-12-12",true,"Maintains blood flow to vital organs","https://cpr.heart.org/en/"
32,"Vaccines create herd immunity","WHO","2020-09-08",true,"Protects those who can't be vaccinated","https://www.who.int/news-room/questions-and-answers/item/herd-immunity-lockdowns-and-covid-19"
33,"Beta blockers lower blood pressure","NIH","2021-04-21",true,"Reduces heart rate and blood pressure","https://www.nhlbi.nih.gov/health/high-blood-pressure/treatment"
34,"Mammograms reduce breast cancer deaths","American Cancer Society","2019-08-07",true,"Early detection improves survival rates","https://www.cancer.org/cancer/breast-cancer/screening-tests-and-early-detection/mammograms.html"
35,"Insulin pumps improve diabetes control","American Diabetes Association","2020-11-19",true,"Provides continuous insulin delivery","https://www.diabetes.org/healthy-living/devices-technology/insulin-pumps"
36,"Antiviral medications treat flu","CDC","2021-10-12",true,"Reduces severity and duration","https://www.cdc.gov/flu/treatment/whatyoushould.htm"
37,"Physical activity prevents osteoporosis","NIH","2019-05-29",true,"Weight-bearing exercise strengthens bones","https://www.bones.nih.gov/health-info/bone/exercise/exercise-and-bone-health"
38,"Pneumonia vaccines prevent infection","CDC","2020-02-27",true,"Protects against bacterial pneumonia","https://www.cdc.gov/vaccines/vpd/pneumo/index.html"
39,"Blood thinners prevent clots","American Heart Association","2021-03-17",true,"Reduces risk of stroke and embolism","https://www.heart.org/en/health-topics/arrhythmia/prevention--treatment-of-arrhythmia/medications-for-arrhythmia"
40,"Organ transplants save lives","UNOS","2019-11-14",true,"Replaces failing organs with healthy ones","https://unos.org/transplant/"
41,"Stem cell therapy treats blood cancers","NIH","2020-08-05",true,"Rebuilds healthy blood cells","https://www.cancer.gov/about-cancer/treatment/types/stem-cell-transplant"
42,"Glaucoma screening prevents blindness","American Academy of Ophthalmology","2021-01-07",true,"Early detection prevents vision loss","https://www.aao.org/eye-health/diseases/glaucoma-diagnosis"
43,"HIV medication prevents AIDS","WHO","2019-09-18",true,"Suppresses viral replication","https://www.who.int/news-room/fact-sheets/detail/hiv-aids"
44,"Bariatric surgery aids weight loss","NIH","2020-12-16",true,"Reduces stomach capacity","https://www.niddk.nih.gov/health-information/weight-management/bariatric-surgery"
45,"EpiPens treat anaphylaxis","American Academy of Allergy, Asthma & Immunology","2021-02-25",true,"Epinephrine reverses severe allergic reactions","https://www.aaaai.org/conditions-and-treatments/library/allergy-library/epinephrine"
46,"Dialysis filters blood","National Kidney Foundation","2019-07-23",true,"Replaces kidney function","https://www.kidney.org/atoz/content/dialysisinfo"
47,"Antipsychotics treat schizophrenia","NIH","2020-10-07",true,"Manages symptoms of psychosis","https://www.nimh.nih.gov/health/topics/schizophrenia/index.shtml"
48,"Fluoride prevents tooth decay","American Dental Association","2021-05-06",true,"Strengthens tooth enamel","https://www.ada.org/resources/research/science-and-research-institute/oral-health-topics/fluoride-topical-and-systemic-supplements"
49,"Pacemakers regulate heartbeat","American Heart Association","2019-04-04",true,"Controls abnormal heart rhythms","https://www.heart.org/en/health-topics/arrhythmia/prevention--treatment-of-arrhythmia/pacemaker"
50,"Hearing aids improve hearing loss","NIH","2020-09-30",true,"Amplifies sound for better hearing","https://www.nidcd.nih.gov/health/hearing-aids"
51,"Physical therapy helps stroke recovery","American Stroke Association","2021-03-11",true,"Restores movement and function","https://www.stroke.org/en/life-after-stroke/stroke-rehab"
52,"Immunotherapy treats cancer","National Cancer Institute","2019-10-24",true,"Boosts immune system to fight cancer","https://www.cancer.gov/about-cancer/treatment/types/immunotherapy"
53,"Insulin injections manage diabetes","American Diabetes Association","2020-07-08",true,"Regulates blood sugar levels","https://www.diabetes.org/healthy-living/medication-treatments/insulin-other-injectables"
54,"Blood transfusions save lives","American Red Cross","2021-01-21",true,"Replaces lost blood volume","https://www.redcrossblood.org/donate-blood/how-to-donate/common-concerns/first-time-donors.html"
55,"Antibiotics treat bacterial infections","CDC","2019-12-05",true,"Kills or inhibits bacterial growth","https://www.cdc.gov/antibiotic-use/q-a.html"
56,"Radiation detects breast cancer","American Cancer Society","2020-08-19",true,"Mammograms use low-dose radiation","https://www.cancer.org/cancer/breast-cancer/screening-tests-and-early-detection/mammograms.html"
57,"Vaccines protect against hepatitis B","WHO","2021-04-14",true,"Prevents liver infection","https://www.who.int/news-room/questions-and-answers/item/hepatitis-b"
58,"CPAP treats sleep apnea","American Sleep Association","2019-11-07",true,"Provides continuous airway pressure","https://www.sleepassociation.org/sleep-treatments/cpap/"
59,"Chemotherapy extends life","National Cancer Institute","2020-06-24",true,"Increases survival rates","https://www.cancer.gov/about-cancer/treatment/types/chemotherapy"
60,"Antiretroviral therapy controls HIV","CDC","2021-02-18",true,"Suppresses viral load","https://www.cdc.gov/hiv/basics/livingwithhiv/treatment.html"
61,"Physical activity reduces depression","NIH","2019-08-29",true,"Releases endorphins that improve mood","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1470658/"
62,"Vaccines prevent measles","WHO","2020-05-07",true,"Highly effective at preventing infection","https://www.who.int/news-room/fact-sheets/detail/measles"
63,"Blood sugar monitoring manages diabetes","American Diabetes Association","2021-06-03",true,"Helps maintain proper glucose levels","https://www.diabetes.org/healthy-living/medication-treatments/blood-glucose-testing-and-control"
64,"Anticoagulants prevent strokes","American Heart Association","2019-07-12",true,"Reduces blood clot formation","https://www.heart.org/en/health-topics/atrial-fibrillation/treatment-and-prevention-of-atrial-fibrillation/anticoagulation-for-afib"
65,"Radiation treats thyroid cancer","American Thyroid Association","2020-04-16",true,"Targets thyroid tissue effectively","https://www.thyroid.org/radioactive-iodine/"
66,"Vaccines prevent whooping cough","CDC","2021-01-14",true,"DTaP vaccine is highly effective","https://www.cdc.gov/pertussis/vaccines.html"
67,"Physical therapy helps arthritis","Arthritis Foundation","2019-10-03",true,"Improves joint mobility","https://www.arthritis.org/health-wellness/treatment/treatment-plan/treatment-guide/physical-therapy"
68,"Antibiotics cure strep throat","Mayo Clinic","2020-09-23",true,"Eradicates streptococcal bacteria","https://www.mayoclinic.org/diseases-conditions/strep-throat/diagnosis-treatment/drc-20350344"
69,"Blood pressure monitoring prevents complications","American Heart Association","2021-03-25",true,"Early detection of hypertension","https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings"
70,"Vaccines prevent tetanus","WHO","2019-09-12",true,"Tetanus toxoid provides immunity","https://www.who.int/news-room/fact-sheets/detail/tetanus"
71,"Insulin pumps improve diabetes management","American Diabetes Association","2020-08-14",true,"Provides precise insulin dosing","https://www.diabetes.org/healthy-living/devices-technology/insulin-pumps"
72,"Antidepressants treat anxiety disorders","NIH","2021-02-09",true,"Regulates brain chemistry","https://www.nimh.nih.gov/health/topics/anxiety-disorders/index.shtml"
73,"Physical activity prevents obesity","CDC","2019-06-20",true,"Burns calories and builds muscle","https://www.cdc.gov/healthyweight/physical_activity/index.html"
74,"Vaccines prevent rubella","WHO","2020-07-30",true,"MMR vaccine provides immunity","https://www.who.int/news-room/fact-sheets/detail/rubella"
75,"Blood tests detect diabetes","American Diabetes Association","2021-04-08",true,"Measures glucose levels","https://www.diabetes.org/a1c/diagnosis"
76,"Antibiotics treat pneumonia","American Lung Association","2019-05-16",true,"Effective against bacterial pneumonia","https://www.lung.org/lung-health-diseases/lung-disease-lookup/pneumonia/treatment-and-recovery"
77,"Radiation treats prostate cancer","American Cancer Society","2020-03-12",true,"Targets prostate tissue","https://www.cancer.org/cancer/prostate-cancer/treating/radiation-therapy.html"
78,"Vaccines prevent diphtheria","CDC","2021-05-20",true,"DTaP vaccine provides immunity","https://www.cdc.gov/vaccines/vpd/diphtheria/index.html"
79,"Physical therapy aids recovery from surgery","APTA","2019-04-25",true,"Restores mobility and function","https://www.apta.org/patient-care/"
80,"Antihistamines treat allergies","American Academy of Allergy, Asthma & Immunology","2020-11-05",true,"Blocks histamine effects","https://www.aaaai.org/conditions-and-treatments/library/allergy-library/antihistamines"
81,"Blood donation saves lives","American Red Cross","2021-06-17",true,"Provides life-saving transfusions","https://www.redcrossblood.org/donate-blood/how-to-donate/common-concerns/first-time-donors.html"
82,"Vaccines prevent mumps","WHO","2019-08-14",true,"MMR vaccine provides immunity","https://www.who.int/news-room/fact-sheets/detail/mumps"
83,"Physical activity reduces cancer risk","American Cancer Society","2020-01-29",true,"Lowers inflammation and hormone levels","https://www.cancer.org/latest-news/can-exercise-lower-cancer-risk.html"
84,"Antibiotics treat urinary tract infections","NIH","2021-03-04",true,"Effective against E. coli bacteria","https://www.niddk.nih.gov/health-information/urologic-diseases/bladder-infection-uti-in-adults/treatment"
85,"Radiation treats lymphoma","American Cancer Society","2019-07-05",true,"Targets cancerous lymphocytes","https://www.cancer.org/cancer/non-hodgkin-lymphoma/treating/radiation-therapy.html"
86,"Vaccines prevent polio","WHO","2020-10-21",true,"IPV vaccine provides immunity","https://www.who.int/news-room/fact-sheets/detail/polio"
87,"Physical therapy helps back pain","APTA","2021-02-12",true,"Strengthens core muscles","https://www.apta.org/patient-care/"
88,"Antifungals treat yeast infections","Mayo Clinic","2019-09-27",true,"Effective against Candida","https://www.mayoclinic.org/diseases-conditions/yeast-infection/diagnosis-treatment/drc-20379004"
89,"Blood tests detect anemia","NIH","2020-05-28",true,"Measures hemoglobin levels","https://www.nhlbi.nih.gov/health-topics/iron-deficiency-anemia"
90,"Vaccines prevent hepatitis A","CDC","2021-04-01",true,"Provides long-term immunity","https://www.cdc.gov/vaccines/vpd/hepa/index.html"
91,"Physical activity improves sleep","Sleep Foundation","2019-12-19",true,"Promotes deeper sleep cycles","https://www.sleepfoundation.org/physical-activity-and-sleep"
92,"Antibiotics treat Lyme disease","CDC","2020-09-16",true,"Effective against Borrelia bacteria","https://www.cdc.gov/lyme/treatment/index.html"
93,"Radiation treats skin cancer","Skin Cancer Foundation","2021-01-07",true,"Targets basal and squamous cells","https://www.skincancer.org/treatment-resources/radiation-therapy/"
94,"Vaccines prevent chickenpox","WHO","2019-11-21",true,"Varicella vaccine provides immunity","https://www.who.int/news-room/fact-sheets/detail/varicella-(chickenpox)"
95,"Physical therapy helps Parkinson's disease","Parkinson's Foundation","2020-08-27",true,"Improves mobility and balance","https://www.parkinson.org/living-with-parkinsons/treatment/physical-therapy"
96,"Antivirals treat shingles","CDC","2021-03-18",true,"Reduces severity and duration","https://www.cdc.gov/shingles/about/treatment.html"
97,"Blood tests detect kidney disease","National Kidney Foundation","2019-10-10",true,"Measures creatinine levels","https://www.kidney.org/atoz/content/kidneytests"
98,"Vaccines prevent Hib disease","CDC","2020-07-02",true,"Prevents Haemophilus influenzae type b","https://www.cdc.gov/vaccines/vpd/hib/index.html"
99,"Physical activity strengthens bones","NIH","2021-05-13",true,"Weight-bearing exercise builds density","https://www.bones.nih.gov/health-info/bone/exercise/exercise-and-bone-health"
100,"Antibiotics are ineffective against viruses","Mayo Clinic","2019-08-12",true,"Antibiotics only work on bacterial infections","https://www.mayoclinic.org/healthy-lifestyle/consumer-health/in-depth/antibiotics/art-20045720"
101,"COVID-19 vaccines implant tracking microchips","Social media","2021-03-18",false,"Vaccines contain no electronic components","https://www.reuters.com/article/factcheck-vaccine-microchip/fact-check-covid-19-vaccines-do-not-contain-microchips-idUSL1N2LE1DX"
102,"Drinking bleach cures COVID-19","Online forum","2020-04-02",false,"Bleach is poisonous and damages internal organs","https://www.poison.org/articles/bleach"
